id,context,question,option_a,option_b,option_c,option_d,correct_answer
919,"Într-un arbore B, ștergerea unei chei poate duce la fuziunea paginilor atunci când frunzele au numărul minim de chei.",Când apare fuziunea paginilor într-un arbore B?,După o inserare reușită,Când ambele pagini vecine au numărul minim de chei,Când pagina este plină,Când arborele este gol,B
920,"În arborii B, dacă pagina din dreapta are mai multe chei decât minimul, se poate împrumuta o cheie pentru a evita fuziunea.",Cum se evită fuziunea într-un arbore B?,Prin ștergerea tuturor cheilor,Prin crearea unei noi rădăcini,Prin duplicarea cheilor,Prin împrumutul unei chei de la o pagină vecină bogată,D
921,Arborii TRIE sunt structuri arborescente multicai folosite pentru stocarea șirurilor de caractere.,Ce sunt arborii TRIE?,Arbori binari de căutare,Liste ordonate alfabetic,Structuri de date pentru stocarea și regăsirea rapidă a șirurilor de caractere,Grafuri orientate,C
922,"Numele TRIE provine din cuvântul englezesc 'retrieval', care înseamnă regăsire.",De unde provine denumirea TRIE?,Din cuvântul 'trial',Din cuvântul 'tree',Din cuvântul 'triangle',Din cuvântul 'retrieval',D
923,"Fiecare nod dintr-un arbore TRIE are până la 27 de copii, corespunzând alfabetului englez și caracterului spațiu.",Câți copii poate avea un nod TRIE pentru alfabetul englez?,28,27,25,26,B
924,Operația FIND dintr-un arbore TRIE caută un cuvânt caracter cu caracter.,Cum funcționează operația FIND într-un arbore TRIE?,Sortează caracterele din cuvânt,Caută doar primul caracter,Parcurge nodurile pentru fiecare caracter al cuvântului,Verifică doar sufixele,C
925,Căutarea într-un arbore TRIE se oprește dacă un caracter nu are nod copil corespunzător.,Când se oprește căutarea unui cuvânt într-un TRIE?,Când se ajunge la rădăcină,Când se termină alfabetul,Când un caracter lipsește din arbore,Când toate cuvintele au fost parcurse,C
926,Inserarea într-un arbore TRIE presupune crearea de noduri pentru caracterele care lipsesc din calea cuvântului.,Ce se întâmplă la inserarea unui cuvânt nou într-un TRIE?,Se creează noduri pentru caracterele lipsă,Se inserează numai prefixele comune,Se șterge arborele și se reconstruiește,Se adaugă cuvântul la sfârșit,A
927,"Dacă în timpul inserării într-un TRIE se ajunge la un nod frunză cu un alt cuvânt, acesta devine nod intern.",Ce se întâmplă dacă în timpul inserării există deja un cuvânt în frunză?,Nodul devine intern și se creează noi ramuri pentru cuvinte,Inserarea este anulată,Cuvântul vechi este înlocuit,Arborele este reinițializat,A
928,Arborii TRIE sunt eficienți pentru regăsirea cuvintelor care împărtășesc prefixe comune.,Pentru ce sunt eficienți arborii TRIE?,Sortarea numerelor întregi,Compresia imaginilor,Calculul expresiilor aritmetice,Regăsirea rapidă a cuvintelor cu prefixe comune,D
929,Căutarea unui cuvânt într-un arbore TRIE are complexitate proporțională cu lungimea cuvântului.,Care este complexitatea căutării într-un arbore TRIE?,O(1),O(log n),O(n),O(lungimea cuvântului),D
930,"Arborii TRIE pot fi folosiți în aplicații precum corectoare ortografice, completare automată și analiză de texte.",În ce domenii sunt utilizați arborii TRIE?,Corectoare ortografice și completare automată,Simulări fizice,Procesare de imagini,Grafică 3D,A
931,O demonstrație reprezintă o înșiruire de pași care se poate genera mecanic folosind reguli de inferență.,Ce reprezintă o demonstrație în teoria raționamentului?,O colecție de fapte independente,O simplă presupunere logică,O serie de pași logici derivați din reguli de inferență,Un set de axiome nedemonstrabile,C
932,Procedura de demonstrare este o specificație nedeterministă a modului de obținere a rezultatului unei interogări.,Ce este o procedură de demonstrare?,O succesiune de axiome,O regulă matematică fixă,O mulțime de reguli de inferență utilizate pentru obținerea concluziilor,Un set de ipoteze contradictorii,C
933,O procedură de demonstrare este corectă dacă Δ ⊢ g implică Δ ⊨ g.,Ce condiție definește corectitudinea unei proceduri de demonstrare?,Nu există nicio relație între Δ și g,Există întotdeauna o soluție unică,Se pot demonstra doar formule false,Tot ceea ce se poate demonstra este și adevărat,D
934,O procedură este completă dacă Δ ⊨ g implică Δ ⊢ g.,Ce exprimă completitudinea unei proceduri de demonstrare?,Numai teoremele false pot fi respinse,Toate formulele sunt automat valide,Niciun enunț nu poate fi demonstrat,Tot ce este adevărat poate fi și demonstrat,D
935,Modus ponens este o regulă fundamentală de raționament care permite derivarea concluziei q din premisele p și p → q.,Ce concluzie permite regula Modus Ponens?,"Dacă p este adevărat, q este fals","Dacă q este fals, p este fals","Dacă q este adevărat, p este fals","Dacă p și p → q sunt adevărate, atunci q este adevărat",D
936,Modus tollens este o regulă de raționament corect care permite inferența negației unei premise din negația concluziei.,Ce concluzie permite regula Modus Tollens?,"Dacă p → q, atunci p","Dacă p și q, atunci p → q","Dacă ¬p, atunci ¬q","Dacă ¬q și p → q, atunci ¬p",D
937,Abducția este o formă de raționament care merge de la efect la cauză și este considerată incorectă logic.,Ce caracterizează raționamentul abductiv?,Este o presupunere posibilă bazată pe efecte observate,Se bazează pe deducții sigure,Se folosește pentru respingerea teoremelor,Este o demonstrație logic validă,A
938,Demonstrarea de jos în sus (bottom-up) pornește de la faptele din baza de cunoștințe și derivă concluzii noi.,Ce caracterizează demonstrarea de jos în sus?,Pornește de la interogare și caută bazele logice,Folosește doar axiome fixe,Este echivalentă cu abducția,Pornește de la cunoștințele existente și derivă concluzii,D
939,Demonstrarea de sus în jos (top-down) pornește de la interogare și coboară până la faptele din baza de cunoștințe.,Cum funcționează demonstrarea de sus în jos?,Ignoră baza de cunoștințe,Se bazează exclusiv pe abducție,Pornește de la interogare și ajunge la faptele cunoscute,Pornește de la axiome și derivă teoreme,C
940,Regula modus-ponens generalizată permite derivarea atomului h dacă toate premisele sale au fost deja derivate.,Ce permite regula modus-ponens generalizată?,Negarea concluziei în lipsa premiselor,Ștergerea concluziilor false,Derivarea concluziei când toate premisele sunt adevărate,Introducerea de axiome noi,C
941,"În demonstrarea de jos în sus, regula se aplică prin înlănțuire înainte (forward chaining).",Ce tip de înlănțuire folosește demonstrarea de jos în sus?,Înapoi (backward chaining),Abductivă,Aleatorie,Înainte (forward chaining),D
942,Complexitatea demonstrației de jos în sus este liniară în raport cu dimensiunea bazei de cunoștințe dacă există o indexare adecvată.,Care este complexitatea demonstrației de jos în sus cu indexare adecvată?,Patratică,Constanta,Liniară,Exponențială,C
943,Nedeterminismul este folosit în inteligența artificială pentru a separa definiția unei soluții de modul de calcul al acesteia.,De ce se utilizează nedeterminismul în inteligența artificială?,Pentru a garanta soluții unice,Pentru a separa definiția soluției de calculul acesteia,Pentru a elimina soluțiile eronate,Pentru a reduce spațiul de căutare,B
944,Există două tipuri de nedeterminism: nu-contează (don't care) și nu-se-știe (don't know).,Care sunt cele două tipuri de nedeterminism?,Decis și indecis,Aleatoriu și determinist,Stocastic și logic,Nu-contează și nu-se-știe,D
945,Nedeterminismul 'nu-contează' presupune că o alegere greșită nu influențează existența soluției.,Ce caracterizează nedeterminismul 'nu-contează'?,Toate alegerile sunt greșite,Orice alegere duce la același rezultat,Se realizează o selecție arbitrară,Se ignoră complet spațiul de căutare,C
946,Nedeterminismul 'nu-se-știe' presupune că o alegere nereușită nu elimină posibilitatea ca alte alegeri să ducă la soluție.,Ce caracterizează nedeterminismul 'nu-se-știe'?,Este posibil ca o altă alegere să ducă la soluție,Se aplică o regulă de selecție unică,Se renunță definitiv la căutare,Toate alegerile duc la eșec,A
947,Regula rezoluției este o regulă de inferență corectă bazată pe disjuncția de literali.,Ce tip de formulă este folosită în regula rezoluției?,Implicații directe,Negări simple,Conjuncții de propoziții,Disjuncții de literali,D
948,Rezoluția SLD este o variantă a rezoluției folosită pentru clauze precise și include o funcție de selecție.,Ce înseamnă SLD în contextul rezoluției logice?,Selecție Liniară de Date,Structură Logică Dinamică,"Selectare, Linie, Determinată",Sistem Logic Determinist,C
949,"În demonstrarea de sus în jos, se combină nedeterminismul 'nu-contează' cu 'nu-se-știe'.",Ce tipuri de nedeterminism apar în demonstrarea de sus în jos?,Decis și indecis,Simplu și compus,Aleatoriu și secvențial,Nu-contează și nu-se-știe,D
950,O substituție este o funcție care asociază variabilelor termeni corespunzători.,Ce este o substituție în logica propozițională?,O regulă de inferență,Un tip de operator boolean,O funcție care asociază variabilelor termeni,O axiomă universală,C
951,Unificarea este procesul prin care două expresii devin identice prin aplicarea unei substituții potrivite.,Ce este unificarea?,Procesul de găsire a unei substituții care face două expresii egale,O formă de demonstrare inductivă,O metodă de derivare a teoremelor,O reducere a expresiilor la forme canonice,A
952,Un unificator cel mai general (cmgu) este unificatorul care poate genera toate celelalte unificări posibile.,Ce este un cmgu (cel mai general unificator)?,Un unificator care generează toate celelalte unificări posibile,O substituție parțială,Un unificator care rezolvă doar expresii atomice,Un unificator arbitrar,A
953,Două expresii sunt unificabile dacă admit cel puțin un unificator comun.,Când se consideră că două expresii sunt unificabile?,Când sunt neadevărate simultan,Când sunt contradictorii,Când nu au variabile comune,Când există cel puțin un unificator care le face identice,D
954,Algoritmul de unificare selectează perechi de neconcordanță dintre două expresii pentru a construi substituțiile.,Ce selectează algoritmul de unificare pentru a avansa?,Perechi de neconcordanță,Literalul cel mai mare,Variabile egale,Cheile comune,A
955,Un punct fix este o mulțime de atomi asupra căreia aplicarea regulilor de inferență nu mai adaugă elemente noi.,Ce reprezintă punctul fix într-o demonstrare logică?,O mulțime de axiome false,O clauză falsă,Mulțimea de consecințe care nu mai poate fi extinsă,O expresie neechivalenta,C
956,"Modelul minimal este interpretarea în care doar atomii deduși sunt adevărați, iar restul falsi.",Ce definește modelul minimal?,Modelul maximal cu toate faptele false,Interpretarea în care doar atomii deduși sunt adevărați,Modelul care conține toate posibilele valori adevărate,Modelul fără consecințe logice,B
957,Extensia raționamentului cu simboluri de funcții permite reprezentarea obiectelor prin componentele lor.,Ce permite introducerea simbolurilor de funcții în raționament?,Reprezentarea obiectelor prin componentele lor,Simplificarea expresiilor logice,Eliminarea tuturor variabilelor,Crearea de noi axiome,A
958,O pereche de neconcordanță reprezintă două subexpresii diferite din doi termeni care ocupă poziții identice în structura acestora.,Ce este o pereche de neconcordanță?,Două constante identice,Două variabile fără valori,Două subexpresii diferite situate pe poziții corespunzătoare,Două reguli contradictorii,C
959,"În demonstrarea cu simboluri de funcții, este necesar ca selecția clauzelor să fie echitabilă pentru a evita infometarea.",De ce trebuie ca selecția clauzelor să fie echitabilă?,Pentru a crește complexitatea demonstrației,Pentru a ignora modelele nevalide,Pentru a restrânge căutarea,Pentru a evita infometarea și a asigura aplicarea tuturor regulilor,D
960,Verificarea aparițiilor în unificare este esențială pentru a menține corectitudinea procesului logic.,De ce este importantă verificarea aparițiilor în procesul de unificare?,Pentru a elimina constantele redundante,Pentru a evita substituțiile circulare și erorile logice,Pentru a simplifica expresiile aritmetice,Pentru a reduce dimensiunea bazei de cunoștințe,B
961,"Utilizarea SRR presupune stabilirea domeniului problemei, identificarea conceptelor și construirea bazei de cunoștințe corespunzătoare.",Care este primul pas în utilizarea SRR?,Reprezentarea bazelor de date,Interogarea sistemului,Axiomatizarea regulilor logice,Stabilirea domeniului problemei,D
